districtcode,centile,superzip,rank,adultpop,households,college,income,Unemp..Rate,X..in.Unemp.sample
MA5,98.84517,1,192,9075,3754,0.6848485,150.0876,0.05,10022
MA6,75.79996,0,3634,26829,9695,0.2946066,86.77757,0.07,31633
MA5,75.79996,0,3634,26829,9695,0.2946066,86.77757,0.07,31633
MA6,90.39428,0,1454,16020,6428,0.4261548,107.3173,0.08,18992
MA6,97.8401,1,362,20897,8594,0.6250658,137.0626,0.06,25310
MA3,97.8401,1,362,20897,8594,0.6250658,137.0626,0.06,25310
MA6,74.58734,0,3800,19531,7972,0.2374174,94.2675,0.06,23525
MA3,92.0985,0,1193,17723,7076,0.4528579,112.8485,0.07,19494
MA3,66.37992,0,5074,19175,7756,0.2013038,85.82171,0.07,23564
MA3,93.30484,0,1033,1830,800,0.4420765,120.8667,0.05,2342
MA3,63.77775,0,5518,16357,5852,0.212753,79.54,0.1,20145
MA3,59.96487,0,6189,14118,5621,0.2211361,72.70387,0.11,16937
MA6,87.58149,0,1838,4869,2013,0.3840624,104.149,0.07,6134
MA6,83.00663,0,2508,3956,1743,0.3415066,96.75717,0.06,4933
MA3,73.65326,0,3950,8879,3493,0.293051,82.74362,0.05,10717
MA3,0.9885919,0,23605,2904,922,0.0819559,25.66819,0.07,3596
MA3,4.979876,0,22255,23978,10276,0.0842022,38.17277,0.09,35115
MA3,24.56973,0,14982,14011,5758,0.1299693,52.91465,0.07,17948
MA3,64.61893,0,5367,30009,11635,0.2294645,78.13695,0.06,36635
MA6,94.46026,0,866,17672,7012,0.5031689,119.1289,0.06,21827
MA3,31.26174,0,12927,9561,3824,0.1454869,55.65015,0.12,12521
MA3,48.50694,0,8580,17759,6930,0.2027141,61.5082,0.09,23464
MA3,47.97148,0,8692,21526,7817,0.1948342,62.31499,0.1,26360
MA3,35.80492,0,11641,15575,5676,0.1598716,56.97083,0.08,22430
MA6,78.27618,0,3221,4048,1702,0.3080534,90.3787,0.05,4987
MA6,72.75717,0,4077,6836,2452,0.2195729,93.7693,0.08,8057
MA3,85.69866,0,2110,5931,2285,0.4007756,94.4911,0.06,7040
MA6,90.8402,0,1388,9302,3750,0.4086218,112.7713,0.08,11435
MA6,93.50919,0,999,16304,6479,0.4782875,116.4758,0.05,18386
MA6,78.57989,0,3172,19556,7646,0.2549601,100.1909,0.06,22731
MA3,83.02407,0,2506,7146,2965,0.3064651,102.8022,0.09,8865
MA6,87.53439,0,1845,17788,6643,0.3970092,101.7757,0.08,20139
MA3,97.12028,1,475,13275,5824,0.5681356,136.0283,0.06,16094
MA6,82.69584,0,2557,14140,5810,0.3144979,100.4237,0.06,17089
MA5,98.46716,1,264,14800,5831,0.6490541,144.1315,0.06,15929
MA6,29.02727,0,13611,30218,10668,0.1592097,51.49329,0.12,35051
MA6,68.20622,0,4788,12477,4846,0.2176805,86.18523,0.08,15772
MA6,27.14411,0,14193,14375,5633,0.1251478,55.85152,0.11,18571
MA6,65.63695,0,5196,19044,7140,0.1925016,86.01,0.08,21828
MA6,92.89509,0,1087,10214,3996,0.5021539,108.2627,0.05,11159
MA6,90.66019,0,1416,2810,988,0.4747331,100.5884,0.05,2904
MA6,70.49937,0,4419,11158,4269,0.2642051,82.21535,0.07,13084
MA6,80.94808,0,2824,27633,9929,0.3653603,86.9371,0.06,32931
MA6,98.76546,1,209,5016,2253,0.6281898,156.2464,0.07,6044
MA6,91.60096,0,1276,1866,767,0.4297964,113.9639,0.04,2340
MA6,80.65044,0,2869,17777,6602,0.330202,92.2708,0.07,21373
MA6,82.53998,0,2584,2280,940,0.3627193,91.73076,0.04,2908
MA6,68.2868,0,4771,21598,7912,0.2749329,76.44099,0.09,24021
MA6,87.32031,0,1874,9311,3484,0.413919,97.97977,0.08,10730
MA6,94.3543,0,881,8093,3352,0.4933893,120.1279,0.04,9308
MA6,95.83978,1,665,3704,1459,0.5599352,122.4031,0.05,4038
MA6,97.28361,1,444,14724,5692,0.6149824,130.6188,0.05,15335
MA6,86.11038,0,2047,5376,1778,0.2931548,114.5523,0.08,7122
MA6,86.82819,0,1940,13717,4684,0.4216665,94.801,0.06,14250
MA6,92.04617,0,1200,1894,771,0.4619852,110.9812,0.09,2945
MA6,54.07371,0,7340,5493,2025,0.1713089,73.65318,0.08,6787
MA6,69.26983,0,4621,34274,12997,0.2310206,85.62557,0.07,41791
MA6,86.71345,0,1955,5716,2035,0.4441918,90.5683,0.08,5911
MA6,84.87864,0,2232,3619,1438,0.3605968,98.7591,0.07,4635
MA6,69.84881,0,4525,28169,9750,0.3114062,72.74833,0.1,34110
MA6,92.92792,0,1082,5524,2152,0.5251629,104.4589,0.05,5895
MA6,96.52943,1,564,4135,1718,0.5197098,136.6115,0.04,4408
MA6,95.50696,1,717,2403,952,0.5064503,128.15,0.08,4007
MA6,96.67178,1,542,2787,1192,0.5723,129.5178,0.07,3284
MA4,73.12627,0,4027,10362,4306,0.2197452,94.24397,0.06,12741
MA2,73.12627,0,4027,10362,4306,0.2197452,94.24397,0.06,12741
MA8,91.34452,0,1311,14541,5562,0.4521697,108.4053,0.05,16828
MA8,97.23677,1,452,5055,2060,0.6073195,130.9391,0.05,5613
MA8,81.58437,0,2736,16989,6169,0.3299194,94.5787,0.06,19984
MA4,99.90133,1,30,3586,1571,0.7780256,205.5129,0.04,4148
MA8,91.69291,0,1257,2691,1044,0.436269,113.3022,0.07,3021
MA4,86.89359,0,1932,11018,4413,0.3750227,103.0533,0.05,13199
MA4,90.34101,0,1459,18736,7894,0.4269321,106.9957,0.06,23272
MA8,96.66727,1,543,13581,5493,0.5752154,128.9267,0.06,16654
MA8,73.71499,0,3942,7957,2851,0.3008672,81.45564,0.06,8963
MA4,88.75462,0,1676,14306,5939,0.4212918,102.0686,0.07,16840
MA8,85.20119,0,2189,16654,6746,0.3584124,100.1948,0.06,19689
MA9,85.20119,0,2189,16654,6746,0.3584124,100.1948,0.06,19689
MA4,98.15637,1,323,7702,3316,0.6210075,142.4316,0.04,8972
MA4,91.41205,0,1301,7960,3337,0.4351759,111.9659,0.07,9606
MA4,84.30965,0,2318,5407,2193,0.3750694,94.3708,0.09,6119
MA4,91.22034,0,1333,7106,2433,0.3789755,120.3005,0.04,8738
MA9,95.5397,1,712,6564,2732,0.5187386,126.5378,0.06,7646
MA8,84.40247,0,2304,20788,7441,0.3921493,91.74644,0.06,23293
MA8,92.93275,0,1081,12133,4812,0.4795187,112.3961,0.06,13408
MA4,97.44172,1,422,11464,4953,0.6307572,129.6119,0.05,13088
MA8,88.5527,0,1711,649,277,0.4098613,103.035,0.06,1612
MA4,88.5527,0,1711,649,277,0.4098613,103.035,0.06,1612
MA4,77.10741,0,3416,19209,7309,0.2838253,91.45616,0.09,22293
MA8,77.10741,0,3416,19209,7309,0.2838253,91.45616,0.09,22293
MA8,89.61333,0,1566,12581,4672,0.3898736,110.2961,0.07,14289
MA4,89.61333,0,1566,12581,4672,0.3898736,110.2961,0.07,14289
MA8,97.12659,1,474,9707,3880,0.5741218,134.9992,0.05,10653
